State,County,Q1 2026 % Underwater,Q1 2025 % underwater,2025_pct,2026_pct,Change,Report
Texas,Johnson,0.0343604760497541,0.0251835410619771,2.51835410619771,3.4360476049754096,0.9176934987776995,"- **Johnson, Texas**: +0.9% (from 2.5% to 3.4%)"
Texas,Galveston,0.0279043481332344,0.0187439324919722,1.87439324919722,2.79043481332344,0.9160415641262201,"- **Galveston, Texas**: +0.9% (from 1.9% to 2.8%)"
Indiana,Monroe,0.0432771721176081,0.0342016224369165,3.42016224369165,4.32771721176081,0.9075549680691597,"- **Monroe, Indiana**: +0.9% (from 3.4% to 4.3%)"
North Carolina,Orange,0.0221144823271817,0.0130389594028534,1.3038959402853398,2.21144823271817,0.9075522924328301,"- **Orange, North Carolina**: +0.9% (from 1.3% to 2.2%)"
Florida,Leon,0.0315913935518252,0.0225297768830733,2.25297768830733,3.15913935518252,0.9061616668751902,"- **Leon, Florida**: +0.9% (from 2.3% to 3.2%)"
Pennsylvania,Luzerne,0.0474240757973098,0.0384382199587728,3.84382199587728,4.74240757973098,0.8985855838536998,"- **Luzerne, Pennsylvania**: +0.9% (from 3.8% to 4.7%)"
Florida,Escambia,0.0278186615749764,0.0188536647907472,1.88536647907472,2.78186615749764,0.8964996784229202,"- **Escambia, Florida**: +0.9% (from 1.9% to 2.8%)"
Ohio,Warren,0.0288391589011674,0.0199049583071819,1.99049583071819,2.8839158901167403,0.8934200593985504,"- **Warren, Ohio**: +0.9% (from 2.0% to 2.9%)"
Florida,Saint Lucie,0.0245946307206679,0.0158341287517234,1.5834128751723402,2.45946307206679,0.8760501968944496,"- **Saint Lucie, Florida**: +0.9% (from 1.6% to 2.5%)"
Florida,Lake,0.0292140590194957,0.0206374518493973,2.06374518493973,2.92140590194957,0.85766071700984,"- **Lake, Florida**: +0.9% (from 2.1% to 2.9%)"
Ohio,Butler,0.0390732172336022,0.030510185355111,3.0510185355111,3.90732172336022,0.8563031878491203,"- **Butler, Ohio**: +0.9% (from 3.1% to 3.9%)"
Maryland,Howard,0.0254645805450604,0.0169171593418334,1.6917159341833399,2.54645805450604,0.8547421203227001,"- **Howard, Maryland**: +0.9% (from 1.7% to 2.5%)"
Iowa,Black Hawk,0.0984280380283015,0.0898965791567223,8.98965791567223,9.842803802830149,0.8531458871579183,"- **Black Hawk, Iowa**: +0.9% (from 9.0% to 9.8%)"
Ohio,Montgomery,0.0461875897272292,0.0376789087765361,3.76789087765361,4.618758972722921,0.8508680950693104,"- **Montgomery, Ohio**: +0.9% (from 3.8% to 4.6%)"
Tennessee,Maury,0.0304424136052774,0.0220058057870587,2.20058057870587,3.04424136052774,0.8436607818218702,"- **Maury, Tennessee**: +0.8% (from 2.2% to 3.0%)"
Florida,Brevard,0.0254466449792957,0.0170323686418739,1.70323686418739,2.54466449792957,0.84142763374218,"- **Brevard, Florida**: +0.8% (from 1.7% to 2.5%)"
Georgia,Chatham,0.0340140808161981,0.025616445651595,2.5616445651595,3.4014080816198096,0.8397635164603097,"- **Chatham, Georgia**: +0.8% (from 2.6% to 3.4%)"
Texas,Bastrop,0.0385718645102227,0.0302344584826199,3.02344584826199,3.85718645102227,0.8337406027602801,"- **Bastrop, Texas**: +0.8% (from 3.0% to 3.9%)"
Florida,Duval,0.0357210446631339,0.027409876326638,2.7409876326638,3.57210446631339,0.83111683364959,"- **Duval, Florida**: +0.8% (from 2.7% to 3.6%)"
Mississippi,Harrison,0.0552929020946178,0.0469875573018991,4.6987557301899106,5.52929020946178,0.8305344792718694,"- **Harrison, Mississippi**: +0.8% (from 4.7% to 5.5%)"
Virginia,Newport News City,0.0320006426907318,0.0237267114238723,2.37267114238723,3.20006426907318,0.82739312668595,"- **Newport News City, Virginia**: +0.8% (from 2.4% to 3.2%)"
Texas,Williamson,0.0208481909380497,0.0126434061211524,1.26434061211524,2.08481909380497,0.8204784816897299,"- **Williamson, Texas**: +0.8% (from 1.3% to 2.1%)"
California,Nevada,0.0347457901031061,0.0266133969133614,2.6613396913361402,3.47457901031061,0.8132393189744698,"- **Nevada, California**: +0.8% (from 2.7% to 3.5%)"
Pennsylvania,Beaver,0.0463800603100899,0.0383231913455037,3.83231913455037,4.63800603100899,0.8056868964586199,"- **Beaver, Pennsylvania**: +0.8% (from 3.8% to 4.6%)"
Missouri,Greene,0.0515683946312356,0.0435430866601752,4.35430866601752,5.156839463123561,0.8025307971060407,"- **Greene, Missouri**: +0.8% (from 4.4% to 5.2%)"
Ohio,Lake,0.0299871039915476,0.0219812654373728,2.19812654373728,2.99871039915476,0.80058385541748,"- **Lake, Ohio**: +0.8% (from 2.2% to 3.0%)"
New York,Broome,0.031624376813751,0.0236849142376895,2.3684914237689503,3.1624376813751,0.7939462576061498,"- **Broome, New York**: +0.8% (from 2.4% to 3.2%)"
Pennsylvania,Delaware,0.0391858538729418,0.0312765134289457,3.12765134289457,3.91858538729418,0.7909340443996102,"- **Delaware, Pennsylvania**: +0.8% (from 3.1% to 3.9%)"
